https://www.ted.com/talks/stephen_ritz_a_teacher_growing_green_in_the_south_bronx,A teacher growing green in the South Bronx,video.other,"A whirlwind of energy and ideas, Stephen Ritz is a teacher in New York's tough South Bronx, where he and his kids grow lush gardens for food, greenery -- and jobs. Just try to keep up with this New York treasure as he spins through the many, many ways there are to grow hope in a neighborhood many have written off, or in your own.",Stephen Ritz
https://www.youtube.com/watch?v=nR7KoXmrB48,,,,not retrievable
https://www.pluralsight.com/courses/accountability-five-steps,Five Steps to Accountability,,,not retrievable
https://www.lynda.com/Business-Skills-tutorials/Acing-Your-Interview/103614-2.html,Acing Your Interview,website,Tips to ace your interview and land the job you want.,not retrievable
https://www.ted.com/talks/dan_pallotta_the_way_we_think_about_charity_is_dead_wrong,The way we think about charity is dead wrong,video.other,"Activist and fundraiser Dan Pallotta calls out the double standard that drives our broken relationship to charities. Too many nonprofits, he says, are rewarded for how little they spend -- not for what they get done. Instead of equating frugality with morality, he asks us to start rewarding charities for their big goals and big accomplishments (even if that comes with big expenses). In this bold talk, he says: Let's change the way we think about changing the world.",Dan Pallotta
https://www.ted.com/talks/caroline_casey_looking_past_limits,Looking past limits,video.other,"Activist Caroline Casey tells the story of her extraordinary life, starting with a revelation (no spoilers). In a talk that challenges perceptions, Casey asks us all to move beyond the limits we may think we have.",Caroline Casey
https://www.youtube.com/watch?v=VzCgaKu-pMw,Basic Math Skills : Adding & Subtracting Fractions,video,Adding and subtracting fractions is a mathematical process that requires both numbers to share a common denominator. Learn the mathematical method for adding...,eHow
https://www.lynda.com/Edge-Animate-tutorials/Edge-Animate-Essential-Training/196263-2.html,Edge Animate Essential Training,website,"Discover how to use Edge Animate to create interactive designs and animated motion graphics for websites, mobile apps, digital magazines, and ebooks.",not retrievable
https://www.youtube.com/watch?v=caUVnq-O1Z8,POP CULTURE: The Clever Tricks of Advertising,video,"Adverts know us well and therefore tease us with promises of love, friendship, calm and success – but then go on merely to sell us things we don’t particular...",The School of Life
http://www.investopedia.com/video/play/explaining-affiliate-associate-and-subsidiary/,"Explaining Affiliate, Associate And Subsidiary",article,"Affiliate, associate and subsidiary are all terms referring to the degree of ownership a parent company holds in another company.",not retrievable
http://www.vanityfair.com/news/2016/11/decision-science-daniel-kahneman-amos-tversky,How Two Trailblazing Psychologists Turned the World of Decision Science Upside Down,article,"After his book Moneyball became a best-seller, Michael Lewis learned that many of the ideas it presented to the general public had actually been introduced decades earlier by a pair of Israeli psychologists: Daniel Kahneman and Amos Tversky. In an adaptation from his new book, Lewis investigates their story, and the intense bond between these radically different men.",not retrievable
https://medium.com/the-mission/after-10-000-data-points-we-figured-out-how-to-write-a-perfect-medium-post-58c41c314f6a#.d37vokjrc,"What makes an article popular on Medium? We analyzed 10,000+ data points to find out",article,Over the last few years Medium has quickly turned into my favorite place to publish and read. It’s a democratic haven where the most interesting articles will excel. Everyone’s success is determined…,not retrievable
https://www.ted.com/talks/luis_von_ahn_massive_scale_online_collaboration,Massive-scale online collaboration,video.other,"After re-purposing CAPTCHA so each human-typed response helps digitize books, Luis von Ahn wondered how else to use small contributions by many on the Internet for greater good. In this talk, he shares how his ambitious new project, Duolingo, will help millions learn a new language while translating the Web quickly and accurately -- all for free.",Luis von Ahn
https://www.lynda.com/Business-Skills-tutorials/Agile-Work-Building-Your-Agile-Team/175073-2.html,Agile at Work: Building Your Agile Team,website,"Learn how to adopt an agile mindset and build an agile team: one that is self-organized, collaborative, and accountable.",not retrievable
https://www.lynda.com/Business-Project-Management-tutorials/Agile-Project-Management/122428-2.html,Agile Project Management Foundations,website,Get the tools and techniques you need to successfully manage a project through the agile life cycle.,not retrievable
https://www.pluralsight.com/courses/agile-project-management,AgilePM® Project Management,,,not retrievable
https://www.pluralsight.com/courses/agile-project-management,AgilePM® Project Management,,,not retrievable
http://learn.filtered.com/finance-for-non-finance-professionals,Finance for Non-finance Professionals,,Our Finance for Non-Finance Professionals Course is designed for you to get comfortable with financial techniques and vocabulary. Read more about how we deliver practical working knowledge through our Filtered online course here.,not retrievable
https://www.ted.com/talks/alix_generous_how_i_learned_to_communicate_my_inner_life_with_asperger_s,How I learned to communicate my inner life with Asperger's,video.other,"Alix Generous is a young woman with a million and one ideas -- she's done award-winning science, helped develop new technology and tells a darn good joke (you'll see). She has Asperger's, a form of autistic spectrum disorder that can impair the basic social skills required for communication, and she's worked hard for years to learn how to share her thoughts with the world. In this funny, personal talk, she shares her story -- and her vision for tools to help more people communicate their big ideas.",Alix Generous
http://blog.hubspot.com/marketing/organize-to-do-list#sm.0000s1klkok57f9oqmi2bcs34zxp7,How to Make the Most of Your To-Do List: 7 Styles to Try,article,"Discover the different ways people organize their to-do lists, and why it works for them.",not retrievable
